Product,NutrUnits,LandUse,CO2Emissions,SO2Emissions,PO4Emissions,FreshwaterWithdrawals,Type
Wheat & Rye (Bread),2.7,1,0.5,5,2,157,v
Maize (Meal),4.5,0.4,0.3,2.2,0.5,10,v
Barley (Beer),5,0.2,0.2,1.2,0.4,1,v
Oatmeal,2.6,2.9,1,3.7,3.8,256,v
Rice,3.7,0.6,1,5,2.5,427,v
Potatoes,0.7,1.1,0.6,4.9,6.1,4,v
Cassava,1,1.4,1.1,3.2,0.7,0,v
Cane Sugar,0,1.8,3.2,18,11,8,v
Beet Sugar,0,1.5,1.8,12,4.3,12,v
Other Pulses,2.1,5.7,0.6,8.9,6.4,0,v
Peas,2.2,3,0.4,4.6,0.8,0,v
Nuts,1.6,5.3,-0.8,21,8.9,1117,v
Groundnuts,2.6,3,1.3,6.3,6.5,344,v
Soymilk,0,0.6,0.9,2.5,1.2,1,v
Tofu,1.6,2.1,1.6,3.8,4.2,4,v
Soybean Oil,0,10,3.9,15,14,2,v
Palm Oil,0,2.4,7.2,18,10,6,v
Sunflower Oil,0,16,3.5,19,19,10,v
Rapeseed Oil,0,9.4,3.5,23,16,1,v
Olive Oil,0,17,5.1,34,39,318,v
Tomatoes,0,0.2,0.7,5.2,1.9,77,v
Onions & Leeks,0,0.3,0.4,3.3,1.6,2,v
Root Vegetables,0,0.3,0.4,2.9,1,10,v
Brassicas,0,0.3,0.4,8.8,5.7,55,v
Other Vegetables,0,0.2,0.4,3.7,1.8,81,v
Citrus Fruit,0,0.7,0.3,3.8,1.7,37,v
Bananas,0,1.4,0.8,6.1,2.1,1,v
Apples,0,0.5,0.4,4,2,115,v
Berries & Grapes,0,2.6,1.4,6.9,1,404,v
Wine,12.5,0.1,0.1,0.9,0.3,0,v
Other Fruit,0,0.9,0.7,5.4,2.1,4,v
Coffee,67,0.2,0.1,1.3,0.7,0,v
Dark Chocolate,20,2.7,0.2,1.5,3.4,1,v
Bovine Meat (beef herd),2,85,30,136,161,371,m
Bovine Meat (dairy herd),2,13,17,146,71,1324,m
Lamb & Mutton,2,64,20,68,51,230,m
Pig Meat,1.6,8.3,6.5,71,33,1119,m
Poultry Meat,1.7,6.4,4.3,37,20,214,m
Milk,0,2.1,2.7,21,11,197,m
Cheese,2.2,9.1,8.4,78,45,706,m
Eggs,1.1,5.1,3.8,49,19,570,v
Fish (farmed),2.3,2.5,3.5,18,107,693,m
Crustaceans (farmed),1.5,0.6,10,72,96,818,m
